planet_name,planetary_mass,planetary_radius,orbital_period,star_mass,star_radius,star_teff,semi_major_axis,planet_updated,planet_discovered
TOI-2081 b,5.08701472556896,2.040038,10.50534,0.54,0.534,3800.0,0.0752,2022-06-23,2022
TOI-2084 Ab,6.743473895582352,2.4704636,6.0784247,0.49,0.475,3550.0,0.05006,2025-09-09,2023
TOI-2088 b,36.88085676037496,3.6799147,124.72997,0.8,0.83,4902.0,0.472,2025-05-13,2024
TOI-2093 c,15.801539491298582,2.2978449999999997,53.81149,0.745,0.729,4426.0,0.257,2025-10-03,2025
TOI-2094 Ab,4.1967871485943915,1.9055300000000002,18.793193,0.425,0.384,3403.0,0.136,2025-12-09,2025
TOI-2095 b,4.101405622489974,1.2498035,17.774872,0.465,0.453,3662.0,0.101,2023-04-20,2023
TOI-2095 c,7.407965194109798,1.3305083,28.17221,0.465,0.453,3662.0,0.137,2023-04-20,2023
TOI-2096 b,1.90763052208836,1.24296601,3.1190633,0.218,0.25,3285.0,0.025,2023-02-16,2022
TOI-2096 c,4.61010709504687,1.91404884,6.38784,0.218,0.25,3285.0,0.04,2023-02-16,2022
TOI-2120 b,6.803882195448484,2.12197579,5.7998164,0.21,0.245,3131.0,0.0377,2024-05-24,2024
TOI-2128 Ab,4.514725568942453,2.6296314,16.34136,1.1,1.125,5991.0,0.127,2025-03-12,2024
